,title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url,Job
1643,Рекрутер,,Алматы,B&S Technology Central Asia,05-07-2023,"Опыт работы не менее 2-х лет. Уверенный пользователь ПК, офисных программ, работы с рекрутинговыми сайтами. Ответственность, пунктуальность, порядочность.",Активный поиск и подбор персонала различного уровня. Формирование профиля должности на каждую вакансию. Разработка стратегии поиска. Работа с hr-площадками...,,От 3 до 6 лет,Проектная работа,https://hh.ru/vacancy/83010123,Recruiter
1644,Рекрутер,220000 - 250000 KZT,Алматы,TOIMART,12-07-2023,"Высшее образование приветствуется. Опыт работы от 1 года на аналогичной позиции. Знание казахского языка обязательно. Ответственность, активность. Коммуникабельность. Стрессоустойчивость. ","Подбор персонала. Контроль сроков и качества закрытия вакансий. Проведение собеседований. Взаимодействие с руководителями структурных подразделений по вопросу формирования заявки, соответствия...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82316199,Recruiter
1645,Менеджер по подбору персонала,20000 - 30000 RUR,Астана,Евразия Консалтинг,24-07-2023,,Ведение отчетности.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83590005,Recruiter
1646,Менеджер по подбору персонала,70000 - 90000 RUR,Астана,Павленко Виталий Анатольевич,18-07-2023,"Hard skills: Успешный опыт управления процессом массового подбора, навыки автоматизации рекрутинга за счет внедрения воронки подбора, чат-ботов, CRM (все...","Много сложных и не очень вакансий (нанимаем как линейных / производственных сотрудников, так и ТОПов). Возможность самостоятельно выстраивать этапы найма и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83619412,Recruiter
1647,Рекрутер/специалист по подбору персонала,,Алматы,Almatytrade,27-06-2023,"Умеет и любит общаться с людьми, обладает грамотной и чистой речью. Доброжелателен и умеет работать в команде. Умеет четко и...",Работа с HeadHunter и другими работными сайтами (обработка откликов и прямой поиск резюме по критериям). Первичное собеседование по телефону. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81930315,Recruiter
1648,Специалист по подбору персонала (рекрутер),,Атырау,Caspian Offshore Construction Realty,03-07-2023,Опыт работы в подборе персонала. Большое желание работать. Владение казахским и русским языками.,Качественный подбор персонала на массовые и топовые позиции на вахтовый метод работы в Тенгиз.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82888629,Recruiter
1649,Рекрутер,,Алматы,АНКОР Центральная Азия,18-07-2023,Высшее образование. Желание начать карьеру в сфере подбора персонала. Желателен опыт работы в продажах. Готовность обучаться. Готовность общаться с большим...,Организация работы по поиску и подбору кандидатов для компаний-клиентов. Обзвон кандидатов. Формирование резюме. Поддержание и развитие базы данных по...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82713029,Recruiter
1650,Ведущий рекрутер,,Алматы,IT-hunters,18-07-2023,"Опыт работы в рекрутменте/HR от 3-х лет +. Опыт работы поиска медиабаеров, интеграторов, афилейтов и других специалистов из...",Подбор персонала в направлении Арбитража трафика по рынку СНГ. Хантинг талантов из компаний того же сегмента. Комплексная оценка профессиональных и...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83633584,Recruiter
1651,Менеджер по подбору персонала,43000 RUR,Актобе,Регро,24-07-2023,"Активность,желание развиваться в сфере подбора персонала. Умение грамотно предоставлять информацию по действующим вакансиям. Быстрая обучаемость. Приветливость в работе с...",Размещение вакансий по имеющейся заявке на территории Казахстана. Поиск и подбор персонала на вахту (рабочие специальности) для работы на территории...,,От 1 года до 3 лет,Проектная работа,https://hh.ru/vacancy/82650951,Recruiter
1652,Рекрутер \ Менеджер по работе с персоналом,,Алматы,Pro Triniti,23-07-2023,"Законченное образование. Отличные коммуникативные навыки, грамотная устная и письменная речь. Умение работать в режиме многозадачности! Огромное желание расти и развиваться...","Подбор персонала на открытые вакансии, поиск и отбор кандидатов, проведение собеседований (массовый рекрутинг). Размещение вакансий на релевантных площадках, самостоятельный поиск...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/80650358,Recruiter
1653,Рекрутер (удаленно),25000 RUR,Петропавловск,Смарт-Контакт,06-07-2023,"Наличие ПК, гарнитуры и бесперебойного интернета. Опыт работы в подборе желателен от 1-ого года. Ответственность, умение работать в режиме...",Подбор линейного персонала - ежедневные звонки кандидатам. Проведение телефонных интервью с кандидатами. Ведение переписки с кандидатами. Отправка кандидата на проверку СБ. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81852093,Recruiter
1654,Руководитель отдела рекрутинга,,Шымкент,Компания ЭВРИКА,20-07-2023,"Требования к опыту и навыкам: Опыт работы в рекрутинге от 3 лет, управленческий опыт от 1 года. Готовность к командировкам. ","Обеспечение процессов подбора, адаптации и удержания персонала в соответствии со стратегическим и операционным планами компании. Управление командой рекрутеров. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83725458,Recruiter
