title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Distributor Development Manager (Consumer Products Division),,Алматы,Лореаль Казахстан,20-07-2023,Наличие соответствующего опыта работы. Знание английского языка.,"Управление отделом по развитию дистрибьюции (работа с командой). Ответственность за развитие деловых, партнерских отношений с дистрибьюторами. Реализация совместного планирования закупок...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83736572
Специалист (программист) поддержки,,Костанай,ТОО «Забота Company LTD,19-07-2023,Опыт работы программистом 1С (желательно в сфере розничной торговли) от 1 года. Ответственность и оперативность в решении задач.,Выполнение текущих заявок от пользователей программы 1С в области розничной торговли/работы с торговым оборудованием. Создание учётных записей для...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83697465
IOS Developer,,Алматы,Народный банк Казахстана,05-07-2023,"Уверенное владение Swift. - Уверенное знание iOS SDK, Xcode, опыт работы с основными iOS фреймворками. - Опыт использования одной из архитектур: MVP...",,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83026702
Front-end разработчик (удаленно),,Астана,Частная компания Retail Robotics Solutions - R&D Ltd.,12-07-2023,"отличное знание JavaScript, HTML, CSS. - уверенное знание TypeScript. - хорошее знание библиотеки React и опыт ее использования в коммерческих проектах не...","разработка и поддержка продукта компании. - проведение код-ревью. - оценка трудоемкости задач. - взаимодействие с другими участниками командами: back-end разработчиками, devops...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83336554
Верстальщик | HTML/CSS Developer,,Павлодар,Публичная Компания «Freedom Finance Global PLC»,05-07-2023,Опыт в сфере веб-разработки от 2 лет. Экспертные навыки в адаптивной кроссбраузерной верстке.,"Верстка макетов созданных в графических редакторах (figma, photoshop). Доработка текущих проектов, внесение правок. Адаптивная верстка. Работа в команде.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83039974
Backend/Fullstack разработчик,600000 - 800000 KZT,Астана,Центр развития трудовых ресурсов,12-07-2023,"Образование: высшее техническое (обязательно). Знание и опыт работы с Java , AngularJS, npm, MyBatis, spring,Oracle - обязательно, Gitlab - желательно. ",Разработка. - Выполнение модификации. - Доработка функционала.,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83334783
Middle Frontend developer (React/TypeScript),,Алматы,DAR tech,29-06-2023,Опыт работы c React / TypeScript. Опыт разработки сложных продуктов от 3х лет. Иметь опыт работы в команде разработчиков и...,"Писать стабильный, поддерживаемый код, который решает задачи бизнеса. Управлять командой фронтенд разработчиков. Участвовать в найме. Участие в процессах и общих...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81442915
Разработчик Python,450000 - 590000 KZT,Алматы,"ProMebel, ТМ (ТОО IDIA Market)",24-07-2023,"Опыт программирования на Python. Знания СУБД PostgreSQL. Опыт работы с django или другим python web framework. Знание основ HTML, CSS. ","Внедрение автоматизации и цифровизации. Разработка ERP системы на платформе Odoo. Анализ потребностей, разработка и внедрение новых процессов.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82822848
Разработчик отдела информационных систем коммуникации,,Алматы,Home Credit Bank,16-07-2023,Опыт работы в сфере информационных технологий не менее одного года. Опыт программирования СУБД (системы управления базами данных). Знание языков программирования...,"Составлять план работ в рамках исполнения задачи по разработке и внедрению программного обеспечения. Осуществлять контроль качества программного кода, разрабатываемых решений. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83496585
Backend-разработчик PHP,700000 - 2000000 KZT,Алматы,Колеса,24-07-2023,"Хорошие знания PHP. Знакомство с инфраструктурой: Linux, Docker, Nginx. Знания базы данных: MySQL (обязательно), MongoDb, Redis. Умение работать с git...",Развитие и поддержка лучших IT-продуктов Казахстана. Создание нового и оптимизация работы имеющегося функционала. Повышение надежности и качества системы на...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/66646946
Управляющий Бизнесом (Business Development Manager),,Алматы,Kaspi.kz,11-07-2023,"Высшее оконченное образование (любое направление). Опыт работы в продажах профессиональных услуг B2B c торговыми партнерами, дилерами, региональные представительствами. ","Курирование работы в части развития партнеров, путем проведения переговоров с партнерами с целью увеличения объёмов продаж партнеров и доходов. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83259321
Веб-разработчик,,Актобе,Dina market,04-07-2023,Наличие опыта работы от 3 лет в веб-разработке — Уверенное владение всеми технологиями веб-разработки. Наличие опыта работы от 3...,"Выполнение задач и сайты, веб-сервис. Интеграция верстки с программным кодом. Поиск и использование новых веб технологий для решения задач.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82959435
"Программист PowerApps, PowerBI",500000 KZT,Астана,Торговый дом ТТС,23-07-2023,Образование - высшее профессиональное в области: - компьютерные науки или смежные области. - менеджмент информационных технологий. - инженерия. Опыт работы - Опыт управления проектами от...,,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83538509
Разработчик баз данных,,Алматы,InformConsulting,14-07-2023,"Опыт работы на аналогичной должности от года в коммерческих проектах. Навыки, знания и практический опыт в области систем управления базами...",Разрабатывать скрипты для отчетов. Оптимизировать запросы. Делать выборки данных. Выполнять миграции и слияния БД. Заниматься анализом данных. Проектировать БД. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83447108
"Developer PHP, C, C# JavaScript",800 USD,Алматы,Cimetrics,18-07-2023,"Понимание разработки веб-приложений – backend on Linux. - Опыт в разработке web-frontend (html, CSS, http). - Готовность изучать новые платформы, технологии...",Платформа:,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83586980
Backend разработчик/Программист (strong junior / middle),350000 - 500000 KZT,Актобе,Oktrening,20-07-2023,,"3. Вам нужно будет попунктно выполнять задачи по разработки функционала, так же тестировать, выявлять баги и устранять их, достигая поставленных...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83760920
C# Developer (Senior/Middle),1000000 KZT,Алматы,FinTechPro,22-07-2023,"Знание # ASP.NET\ASP.NET Core - опыт разработки коммерческих проектов. Опыт разработки монолитного\многоуровневого приложения. Знание паттернов - MVC, Repository. ",,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83380369
Разработчик Golang,,Алматы,Astana-Plat,17-07-2023,"Уверенное знание Golang, PHP. Опыт работы Kafka , SQL, Rest, GRPC, NoSQL и Embedded базами. Понимание принципов SOLID. Навыки работы с...","Разработка нового функционала для информационных систем компании (финтех). Устранение недостатков в старом функционале, рефакторинг и код ревью. Разработка новых и...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83513156
Embedded system developer / Разработчик встраиваемых систем,200000 - 400000 KZT,Астана,NTS design,24-07-2023,Отличное знание языка C/C++. Опыт разработки встраиваемого ПО для серийных изделий на базе MCU STM32 (32-bit ARM...,"Разработка встраиваемого ПО для микроконтроллеров (МК): STM, Atmel и др.. Сбор данных с разных устройств с низкоуровневым выводом (АЦП, GPIO...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83592481
Разработчик Power BI,,Астана,КАЗАХСТАНСКИЙ ОПЕРАТОР РЫНКА ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИИ И МОЩНОСТИ,13-07-2023,"Обязателен опыт работы с Power BI, Power Query и Power Pivot. Знание баз данных и SQL. Проактивный подход к задачам...","Управление проектом по внедрению Power BI. Разработка витрин и моделей данных. Разработка отчетов и визуализаций. Проектирование, разработка и оптимизация хранилищ...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83383444
Senior Java developer,,Алматы,Khan Group,24-07-2023,"Знание и умение работать с Java, JavaEE, Spring, Spring Boot, MySQL. Знание и умение использовать различные алгоритмы, структуры данных. ",Выступать экспертным специалистом (код ревью). Исследования и разработка - rnd проекты.,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83922012
Frontend Developer,,Алматы,Home Credit Bank,05-07-2023,Отличные знания JavaScript. Опыт работы с React/Angular. Понимание современного стека web-разработки. Готовность работать в распределенной команде. ,Разрабатывать клиентские и внутренние интерфейсы. Участвовать в командной разработке. Внедрять новые технологии и практики.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83039878
Инженер-программист,500000 KZT,Алматы,Микрофинансовая организация Азиатский Кредитный Фонд,30-06-2023,Навыки администрирования баз данных MS SQL Server. Знание теории реляционных баз данных. Знание принципов проектирования и нормализации БД. ,Администрирование MS SQL сервер и разработка.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82841350
Golang-разработчик,,Алматы,iBEC Systems,24-07-2023,"Честного, полного энтузиазма и лояльности к своей работе опытного Golang-разработчика. Чего мы ждём от вас: Опыт работы в качестве...",Внешние и внутренние семинары или доклады.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82889185
Стажер-программист 1С,150000 - 300000 KZT,Алматы,Первый БИТ,10-07-2023,"Законченное образование (высшее или средне-специальное). Высокая обучаемость, развитое логическое мышление, коммуникабельность и стрессоустойчивость. Умение программировать на любом языке будет...","Установка, настройка, обновление программных продуктов 1С. Обучение и консультирование пользователей по ведению учета в различных конфигурациях 1С. ",,Нет опыта,Стажировка,https://hh.ru/vacancy/80583356
Backend Developer (Python/Go),,Астана,ProPeople Global,14-07-2023,"Сильные навыки программирования на языках Python, включая опыт работы с их стандартными библиотеками, фреймворками и инструментами разработки. Понимание принципов и...","Обеспечивать качественную техническую проработку и реализацию продукта. Создание общей технологической структуры команды: архитектура, системный дизайн, технологические best-practices. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83434796
PL/SQL-разработчик,,Алматы,Банк ЦентрКредит,10-07-2023,"Отличное знание АБИС Colvir. Отличное знание языка PL/SQL, SQL. Умение работать с JSON, XML. Опыт работы с микросервисами. ","Разработка функционала в АБИС Colvir. Разработка структур данных в БД PostgreSQL. Настройка бухмоделей, разработка операций, фоновых заданий.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81894777
Learning and Development Specialist— Talent Department,,Алматы,"Deloitte, Caspian Region",13-07-2023,"Experience as a training coordinator, training organiser or administrative assistant of over one year. A proactive approach and independence, an...","Prepare training schedules for learning seasons. Manage and coordinate learning events (training, exams and presentations): register attendees, work with trainers...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83388201
Senior Java developer,1000000 KZT,Алматы,Prime Source,17-07-2023,"Работа с требованиями: документирование, процесс управления, декомпозиция, тестирование. Знание принципов ООП. Знание гибких методологий Agile: Scrum, Kanban. Знание стадий жизненного...",Разработка и развитие новых и существующих проектов. Оптимизация производительности приложения. Взаимодействие с внешними API. Тестирование и документирование кода. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83517756
