title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Специалист по IT,150000 - 380000 KZT,Алматы,Ваш Домофон,25-06-2023,,"Настройка сетевого оборудования (Asus, Mikrotik,Ubiquiti). Обслуживание ПК, оргтехники. Обслуживание систем Видеонаблюдения и IP домофонии. Выполнение поставленных задач.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82368588
IT Project Manager,300000 - 500000 KZT,Алматы,NiDGE,21-07-2023,"Опыт работы с инструментами управления проектами (например, Trello, ClickUP). Навыки управления командой <highlighttext>специалистов</highlighttext>. Отличные коммуникативные навыки и способность эффективно работать...","Планирование и координация работы над проектами, отвечая за сроки, бюджет и качество выполнения. Организация работы команды <highlighttext>специалистов</highlighttext>, распределение задач и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83802793
Специалист по внедрению и поддержке систем IT,,Алматы,Alina Group,21-07-2023,Высшее образование (желательно: информационные технологии). Опыт работы в технической поддержке от 2 лет. Семейство» офисного программного обеспечения и операционных систем...,"Устанавливать, настраивать и поддерживать персональные компьютеры, периферийное оборудование и программное обеспечение рабочих мест сотрудников Товарищества, а также своевременно выявлять и...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83799183
Специалист IT отдела в с. Аксукент,220000 KZT,Шымкент,Нурбанк,18-07-2023,Высшее техническое/математическое образование. Иное высшее при наличии опыта работы не менее 5 лет по специальности в области информационных технологий. ,"Организация, координация и контроль эффективной работы отдела. Обеспечение сопровождения и мониторинга обмена данными в части коммуникаций для бесперебойной работы ИСУБД...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83597254
Специалист по IT/системный администратор,400000 - 480000 KZT,Караганда,ДЕДОВ,23-07-2023,"На должность IT-<highlighttext>специалиста</highlighttext> принимается лицо, имеющее высшее профессиональное (математическое, инженерно-математическое, техническое) образование и стаж работы по специальности в...","Работа с программой 1С.Предприятие: администрирование, сопровождение и внедрение программ, установка и обновление платформы, обновление не типовой конфигурации УПП, разработка новых...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83254660
Intern / Specialist in Financial Audit IT Group,,Алматы,EY (Ernst & Young),21-07-2023,Higher technical education (IT). Good English (verbal/writing). Good knowledge of MS Office. Advanced user of Excel. Presentation skills. ,Participation in the audit of information systems in the framework of financial audit.,,Нет опыта,Стажировка,https://hh.ru/vacancy/83802455
IT рекрутер,,Астана,TargetAI Limited,13-07-2023,"Что точно нужно уметь и понимать, чтобы мы договорились: Хорошо говорить и уметь убеждать (например, опыт в ИТ подборе, продажах...","Основное: помогать мне с поиском и отбором кандидатов на сложные вакансии (Технические, тим и техлиды, редкие <highlighttext>специалисты</highlighttext> по ИТ направлениям...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83391249
Специалист по IT,150000 KZT,Петропавловск,Барс - NORD,05-07-2023,Образование средне-спец. высшее. * Опыт работы желателен (при отсутствии опыта работы - образование обязательно). * Знание программного обеспечения.,"Обеспечение бесперебойной и корректной работы сетевого оборудования вычислительной техники, оргтехники. Оперативное выполнение всех связанных с этим технических задач. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83022495
Технический специалист (IT),200000 - 300000 KZT,Алматы,Sulpak,13-07-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81937021
IT-специалист / Веб-дизайнер / Фронтенд-разработчик,200000 KZT,Шымкент,PHYTO-APIPHARM,13-07-2023,"1. Опыт работы на аналогичной должности не менее 2-3 лет. 2. Глубокие знания HTML, CSS, и JavaScript. 3. ","1. Обеспечивать надлежащее функционирование и обслуживание компьютеров и оргтехники в организации. 2. Разрабатывать и поддерживать веб-сайт компании, обеспечивая удобный...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83394729
Специалист по IT,,Алматы,Qamalladin Media,24-07-2023,"1) Установка и администрирование операционных систем: Знание и опыт в установке, настройке и обслуживании различных операционных систем, таких как Windows...","3) Знание о настройке и обслуживании серверов, включая установку операционных систем, настройку служб и ролей сервера, управление хранилищем данных и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83912125
