title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер по подбору персонала,250000 - 400000 KZT,Алматы,Мир Квартир,12-07-2023,Желание развиваться и расти в сфере подбора и адаптации персонала. Готовность работать с большим потоком информации. Умение и желание работать...,,,Нет опыта,Полная занятость,https://hh.ru/vacancy/81394327
Специалист по поиску и подбору персонала (рекрутер),,Астана,BI-Development (ТМ BI GROUP),10-07-2023,"Высшее образование. Опыт работы на аналогичной позиции не менее 1 года. Знание MS Office, Outlook, Система ERP,1С Документооборот. ","Взаимодействие с внутренним клиентами (нанимающими менеджерами) для выявления основных требований, предъявляемых к кандидатам и деталей профиля должности. Разработка стратегии поиска. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83239161
Рекрутер (специалист по подбору персонала),,Алматы,Magnum E-commerce Kazakhstan,22-07-2023,Знание русского и казахского языка (разговорный). Грамотная речь. Презентабельный внешний вид. Знание офисной техники и компьютерных программ. Опыт работы в...,Размещать вакансии компании на информационных платформах. Отрабатывать все отклики. Создавать поток эффективных кандидатов. Проводить телефонные интервью. Собеседования в офисе компании...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83510456
Рекрутер,300000 - 400000 KZT,Алматы,Микрокредитная организация I-Credit,24-07-2023,Вы имеете опыт подбора от 1 года. Обладаете знаниями и навыками оценки soft skills. Умеете вести переговоры и отрабатывать возражения. ,Активное закрытие открытых вакансий в компании. Общение с внутренними заказчиками. Разрабатывать и внедрять эффективные стратегии поиска для привлечения квалифицированных специалистов...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83917727
Recruitment Teamlead (Руководитель группы подбора),,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),05-07-2023,"Образование: высшее. Управленческий опыт не менее 3 лет. Опыт работы: в сфере телеком будет преимуществом, более 5 лет в крупных...","Автоматизировать процесс подбора персонала в компании, используя современные инструменты и технологии для улучшения качества и эффективности найма. Контролировать и предоставлять...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83042489
Специалист по подбору персонала/Рекрутер (удаленно),,Жанатас,Казфосфат,19-07-2023,"Высшее образование (инженерное, филологическое, психологическое). Опыт работы в качестве рекрутера не менее 3 (трех) лет на производстве. Знание казахского языка...","Прямой поиск, обработка откликов. Размещение сведений о вакансиях в средствах массовой информации. Осуществление проверки информации о кандидатах на вакантные должности. ",,От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/83689962
Помощник менеджера по подбору персонала,150000 - 250000 KZT,Алматы,NLS Kazakhstan,18-07-2023,Коммуникабельность и стрессоустойчивость. Умение общаться с людьми. Умение анализировать. Нестандартное и нешаблонное мышление. Пунктуальность и работоспособность. Опыт работы рекрутинга персонала...,"Подбор и найм персонала. Мониторинг источников, подготовка предложения и размещение информации о вакансии. Постоянно быть на телефоне с кандидатами. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83630075
HR-Рекрутер,350000 - 500000 KZT,Алматы,МФО Credit365 Kazakhstan (Кредит 365 Казахстан),21-07-2023,"Опыт работы на позиции HR-рекрутера от 1 года. Инициативность, октрытость, чувство ответственности и высокий уровень самоорганизации. Понимание рынка труда...","Организация полного цикла поиска и подбора кандидатов. Cоставление и размещение вакансий. Cкрининг и отбор подходящих резюме, первичная оценка. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83621784
Начинающий рекрутер,200000 - 220000 KZT,Алматы,Смакополис,17-07-2023,Минимальный опыт работы в подборе персонала. Свободное владение казахским и русским языками. Ответственный подход к работе и результативность. ,"Помощь в поиске и подбор персонала всех уровней. Работа с откликами. Проведение интервью с кандидатами, организация интервью с руководителями подразделений. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83516556
Начинающий специалист по подбору персонала,145000 - 155000 KZT,Алматы,TECHNODOM Operator (Технодом Оператор),26-06-2023,"Желание обучаться и развиваться. Ответственность, инициативность, коммуникабельность, целеустремлённость. Знание разговорного казахского языка. Грамотная устная и письменная речь.",Поиск и подбор персонала. Ведение отчетности. Организация интервью с кандидатами. Проведение первичного интервью с кандидатами. Обзвон кандидатов. Размещение вакансий на...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/82418727
Менеджер по подбору персонала/рекрутер,182000 - 208000 KZT,Щучинск,БУРАБАЙ ТАЛАП,10-07-2023,Ты хочешь работать в лучшем в курорт-отеле. Опытный пользователь ПК. Ты быстро обучаешься. Ты можешь работать в команде. ,"Подбор, отбор персонала. Размещение объявлений на онлайн и оффлайн площадках. Прием звонков. Предоставление отчетности.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83225421
Главный специалист по рекрутингу,,Алматы,Корпорация управления бизнесом (КУБ),24-07-2023,"Опыт работы Рекрутером от 3-х лет в крупной/динамичной компании (FMCG, производстве, банковской сфере или быстрорастущем стартапе). ","Поиск и внедрение эффективных источников подбора. Ведение всего цикла процесса рекрутинга: получение заявки, поиск, сопровождение кандидата до момента оформления. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83911375
Специалист по подбору персонала,,Алматы,"Small, ТМ (Скиф Сауда, ТОО)",30-06-2023,Нацеленность на результат. Организованность и планирование времени. Умение работать в команде. Знание казахского и русского языков обязательно. Склонность к профессиональному...,Осуществление активного поиска кандидатов по вакантным позициям. Прием от структурных подразделений заявок на поиск и подбор необходимых работников. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82820751
Recruitment Specialist / Специалист по подбору персонала (Атырау/Астана/Алматы),,Алматы,Стамгазстрой,20-07-2023,Высшее образование. Стаж работы не менее 3 лет. Желательно знание английского языка.,"Проводит регулярный анализ процесса отбора персонала, разрабатывает и подготавливает предложения по оптимизации системы и процесса отбора. Консультирует кандидатов, руководителей нанимаемых...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83728153
HR менеджер/рекрутер,300000 - 350000 KZT,Алматы,СТОgram,20-07-2023,"Умение быстро подбирать, находить соответствующих людей в нашу компанию.","Подбор качественного персонала. Ведение переговоров с кандидатами, проведение назначение собеседований. Активный поиск, отбор и оценка персонала. Размещение вакансий на различных...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83758318
Менеджер по подбору персонала,40000 - 60000 RUR,Астана,Кадровая компания Вераль,21-07-2023,Готовность к большому количеству звонков. Готовность к проведению собеседований.,Размещение и мониторинг вакансий на работных площадках. Общение с кандидатами по телефону. Проведение собеседований. Выполнение плана по подбору кандидатов. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83804130
