title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR менеджер (инспектор по кадровой работе),250000 - 300000 KZT,Караганда,Карагандинское горно-строительное предприятие,05-07-2023,"Опыт работы от 2 лет. Навыки работы с документацией. Навыки работы с людьми. Коммуникабельность, ответственность, порядочность.","Составление профиля вакансии. Мониторинг вакансий, кадровый резерв. Проведение интервью, согласование с руководством, оперативное заполнение имеющихся вакансий предприятия. Адаптация персонала, мотивация. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83037960
Менеджер отдела кадров - HR менеджер,250000 KZT,Уральск,TARAL,04-07-2023,"Знание Трудового Кодекса РК. Свободное владение Казахским и Русским языками. Клиентоориентированность и нацеленность на результат. Коммуникативные навыки. Порядочность, ответственность, чистоплотность. ","Обеспечивать укомплектованность предприятия необходимым персоналом. Организовывать эффективный поиск кандидатов с использованием различных источников (средств массовой информации, интернета, ярмарок вакансий, через...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82974221
HR менеджер,,Алматы,Tek Led,22-07-2023,Опыт на данной позиции больше 3-х лет и опыт в больших компаний.,"Адаптация сотрудников; Помогать сотрудникам развивать свой внутренний потенциал. Анализ рынка труда: мониторинг рынка заработных плат, источников привлечения персонала. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82977562
HR менеджер/менеджер по подбору,400000 KZT,Отеген-Батыр,Восхождение,24-07-2023,Знание казахского языка. Опыт в подборе персонала от года. Развитые коммуникативные навыки. Умение работать в динамичном режиме.,Точечный подбор персонала. Работа с откликами и «холодный поиск» кандидатов с использованием всех возможных источников. Проведение телефонных интервью и очных...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81721257
HR менеджер в клининговую компанию,300000 - 300001 KZT,Астана,Vita Service 2016,01-07-2023,"Ответственная , мобильная, порядочная . Всегда быть на телефоне.","Требуется отдел кадров в клининговую компанию по подбору персонала ( техничек, менеджера и т.д.). Определять кадровую политику . Проводить обучения персонала...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/78600142
HR менеджер международного направления,,Алматы,Авара Ай Ти Казахстан,22-07-2023,"получили высшее образование. - работали на похожей позиции в международной компании, а так же имеете опыт управления проектами. - обладаете продвинутым уровнем...","настраивать работу с международными провайдерами и выстраивать с ними партнерские отношения. - контролировать качество работы провайдеров, работая над постоянным улучшением и...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83219599
HR-менеджер,300000 - 500000 KZT,Аксай (Казахстан),National Service Company,24-07-2023,Или есть минимум 3 год опыта работы как <highlighttext>HR</highlighttext> <highlighttext>специалиста</highlighttext> . Вы быстро и эффективно вникаете в новые вопросы и способны...,"Проведение процесса подбора сотрудников, включая собеседования и оценку кандидатов. Быть поддержкой и наставником для стажеров во время их стажировки. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83464319
HR менеджер/ менеджер по подбору,400000 KZT,Алматы,Восхождение,24-07-2023,Знание казахского языка. Опыт в подборе персонала от года. Развитые коммуникативные навыки. Умение работать в динамичном режиме.,Точечный подбор персонала. Работа с откликами и «холодный поиск» кандидатов с использованием всех возможных источников. Проведение телефонных интервью и очных...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81308920
HR менеджер,,Алматы,OCEAN DIGITAL (ОУШЕН ДИДЖИТАЛ),19-07-2023,Опыт работы на аналогичной позиции. Активность и ориентированность на результат. Высокий уровень концентрации. Способность работать в команде. Ответственность и самостоятельность...,"Поиск и подбор персонала (Линейный персонал, менеджмент, реклама и масс). Размещать вакансии на профильных ресурсах. Скрининг резюме. Проводить телефонные интервью...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83699403
HR-менеджер,,Астана,AUTODO.KZ,18-07-2023,Опыт работы на аналогичной позиции не менее 2-х лет. Отличные коммуникативные способности. Опыт проведения массовых интервью. Опыт работы в...,Поиск и подбор персонала в соответствии с кадровой политикой. Рекрутинг: создание профиля должности (портрета кандидата с необходимыми навыками и качествами). ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83585468
